,date_mutation,valeur_fonciere,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude
2796,18/05/2021,890000,Appartement,64,3,2.336026,48.87937
4686,30/06/2021,250000,Appartement,26,2,2.347101,48.880469
24684,26/02/2021,168500,Appartement,15,1,2.327902,48.88141
6066,19/07/2021,757000,Appartement,59,3,2.334745,48.882158
9584,21/10/2021,486000,Appartement,38,2,2.344343,48.878354
4817,12/07/2021,883080,Appartement,75,3,2.33675,48.881324
1338,19/04/2021,198113,Appartement,17,1,2.343411,48.87447
4732,30/06/2021,1962100,Appartement,207,5,2.341342,48.873454
24513,28/01/2021,215000,Appartement,27,2,2.3442,48.880393
6584,13/08/2021,1123046,Appartement,98,4,2.34769,48.877414
8269,16/09/2021,425000,Appartement,38,2,2.336579,48.877019
9632,07/10/2021,763500,Appartement,57,3,2.347273,48.875501
9405,12/10/2021,635000,Appartement,45,2,2.337807,48.879716
2341,11/05/2021,600000,Appartement,59,3,2.340564,48.877924
24595,12/02/2021,970000,Appartement,95,5,2.345059,48.879042
9267,20/09/2021,1162000,Appartement,82,4,2.349192,48.879882
4611,06/07/2021,631000,Appartement,50,2,2.34767,48.874138
9407,15/10/2021,770000,Appartement,56,2,2.332611,48.87701
3752,04/06/2021,1200000,Appartement,130,5,2.349211,48.882741
5997,23/07/2021,1576950,Appartement,116,4,2.329893,48.87984
7130,03/08/2021,222342,Appartement,18,2,2.33173,48.881058
7093,03/08/2021,1414235,Appartement,115,5,2.341752,48.881618
8187,07/09/2021,140000,Appartement,16,1,2.33173,48.881058
11762,29/11/2021,543200,Appartement,44,2,2.346336,48.878186
12662,30/11/2021,1022000,Appartement,101,4,2.347052,48.880241
10837,28/10/2021,314000,Appartement,27,1,2.339439,48.878672
11683,06/12/2021,262600,Appartement,24,1,2.329791,48.877955
1640,12/04/2021,370000,Appartement,38,2,2.347498,48.875419
24793,05/03/2021,105000,Appartement,8,1,2.348136,48.876004
3372,11/06/2021,827000,Appartement,67,4,2.334798,48.881271
10917,02/11/2021,328200,Appartement,23,1,2.339826,48.872239
6384,02/08/2021,113000,Appartement,14,1,2.331591,48.874437
4029,22/06/2021,480000,Appartement,45,3,2.335936,48.881456
10966,03/11/2021,1031400,Appartement,78,4,2.341291,48.872995
7558,01/09/2021,1030000,Appartement,72,3,2.345352,48.876078
24923,08/03/2021,385000,Appartement,21,1,2.34673,48.871669
3180,22/04/2021,895000,Appartement,70,4,2.347972,48.877439
24750,25/02/2021,300000,Appartement,25,2,2.334613,48.880363
9694,27/09/2021,633250,Appartement,40,3,2.342849,48.872848
1241,02/04/2021,680000,Appartement,60,3,2.348256,48.882139
6238,29/07/2021,560000,Appartement,48,2,2.336217,48.881685
12781,29/12/2021,1298350,Appartement,116,5,2.328689,48.879106
5009,24/06/2021,395000,Appartement,33,1,2.346927,48.881252
24806,02/03/2021,773900,Appartement,59,4,2.345309,48.879421
12469,13/12/2021,743300,Appartement,54,3,2.334367,48.881672
24682,01/03/2021,225000,Appartement,18,1,2.327792,48.881467
9715,21/10/2021,1219000,Maison,75,4,2.338761,48.879882
24899,29/03/2021,210000,Appartement,14,0,2.327792,48.881467
11675,06/12/2021,750000,Appartement,75,3,2.342219,48.879747
11853,03/12/2021,364221,Appartement,45,3,2.343226,48.876724
24813,26/02/2021,683000,Appartement,70,2,2.337852,48.876471
8189,02/09/2021,361000,Appartement,36,3,2.344387,48.880914
11245,23/11/2021,529000,Appartement,45,3,2.331406,48.882596
9912,07/10/2021,661400,Appartement,56,3,2.346845,48.881676
24906,11/03/2021,1000000,Appartement,110,4,2.345981,48.880886
1056,18/02/2021,1798500,Appartement,142,5,2.340505,48.879443
3161,28/05/2021,858000,Appartement,70,3,2.343371,48.878803
24504,28/01/2021,674000,Appartement,52,3,2.344302,48.880752
3100,12/05/2021,175000,Appartement,16,1,2.333175,48.881093
7212,26/08/2021,1925281,Appartement,145,5,2.331113,48.880645
10113,25/10/2021,1750000,Appartement,172,6,2.348622,48.87894
5686,02/07/2021,310000,Appartement,26,2,2.332425,48.882849
6368,03/08/2021,195000,Appartement,20,1,2.343917,48.8745
4200,22/06/2021,600000,Appartement,52,3,2.341332,48.879927
12303,21/12/2021,455000,Appartement,35,2,2.343109,48.880463
24517,12/01/2021,483650,Appartement,36,2,2.344512,48.8778
3042,26/05/2021,150000,Appartement,14,1,2.336491,48.882221
10937,26/10/2021,135000,Appartement,10,1,2.340015,48.876933
8028,15/09/2021,748010,Appartement,54,4,2.340224,48.878483
24548,05/01/2021,1037120,Appartement,81,3,2.345734,48.878823
5900,28/07/2021,1031000,Appartement,78,4,2.346564,48.878276
6037,19/07/2021,250000,Appartement,26,2,2.327638,48.876531
8715,30/09/2021,505000,Appartement,42,3,2.343884,48.881119
4123,08/06/2021,525000,Appartement,44,2,2.332989,48.882616
1324,27/04/2021,1800000,Appartement,145,5,2.343313,48.880914
24870,18/03/2021,300000,Appartement,35,1,2.347243,48.873608
2022,05/05/2021,1185900,Appartement,96,4,2.34492,48.875015
4027,25/06/2021,1190000,Appartement,85,2,2.331923,48.883013
11786,16/11/2021,169815,Appartement,11,1,2.344522,48.873234
3857,17/06/2021,340000,Appartement,26,1,2.346927,48.881252
10925,17/11/2021,283500,Appartement,21,2,2.344458,48.881097
5155,06/07/2021,1675350,Appartement,112,5,2.347408,48.880158
1676,30/04/2021,494300,Appartement,31,2,2.334256,48.881799
4371,22/06/2021,628570,Appartement,52,2,2.335319,48.879815
737,26/03/2021,275000,Appartement,26,2,2.333438,48.874091
1610,27/04/2021,1375000,Appartement,104,4,2.341425,48.881984
2085,05/05/2021,245000,Appartement,27,1,2.331289,48.881848
5741,27/07/2021,370000,Appartement,30,2,2.337403,48.876553
9037,13/10/2021,377000,Appartement,36,2,2.33363,48.87903
11990,14/12/2021,420000,Appartement,34,1,2.333017,48.874615
6296,04/08/2021,413000,Appartement,35,3,2.337839,48.879097
25185,21/01/2021,273500,Appartement,25,1,2.377138,48.85129
17510,28/07/2021,467850,Appartement,40,2,2.393461,48.850929
