,valeur_fonciere
1873,315722
1874,1153000
1875,495000
1876,258500
1877,230888
1878,140860
1879,419000
1880,810275
1881,1172300
1882,225000
1883,428150
1884,206000
1885,950000
1886,1898000
1887,394200
1888,493000
1889,488000
1890,534115
1891,377000
1892,1100000
1893,258000
1894,680000
1895,190000
1896,608250
1897,931500
1898,363308
1899,490000
1900,410000
1901,660000
1902,226990
1903,513359
1904,785000
1905,557622
1906,397200
1907,492850
1908,465000
1909,488000
1910,1380000
1911,349000
1912,470000
1913,1333000
1914,1382800
1915,215000
1916,1100000
1917,441750
1918,230000
1919,270000
1920,245000
1921,890000
1922,1360300
1923,1020000
1924,192000
1925,184762
1926,167000
1927,350000
1928,410000
1929,110000
1930,520000
1931,443000
1932,450000
1933,471000
1934,445000
1935,274075
1936,294717
1937,822000
1938,429676
1939,1022700
1940,278000
1941,984825
1942,402547
1943,873000
1944,2170000
1945,1018500
1946,510000
1947,1400000
1948,180000
1949,216000
1950,485000
1951,285000
1952,322600
1953,1445400
1954,666000
1955,391942
1956,554000
1957,885000
1958,600000
1959,1232600
1960,207000
1961,405000
1962,547000
1963,415950
1964,1212500
1965,224280
1966,590000
1967,718000
1968,954600
1969,5890500
1970,575000
1971,405000
1972,385000
1973,1120000
1974,860000
1975,931000
1976,795000
1977,1000000
1978,361000
1979,246096
1980,1513150
1981,450000
1982,591000
1983,645000
1984,747750
1985,663110
1986,2500000
1987,1900000
1988,380940
1989,578600
1990,786860
1991,185000
1992,512580
1993,1750000
1994,399000
1995,472600
1996,169000
1997,420000
1998,600000
1999,1868990
2000,328000
2001,376700
2002,231200
2003,270000
2004,884185
2005,784072
2006,346710
2007,530000
2008,565830
2009,2500000
2010,2271500
2011,435000
2012,510000
2013,1459300
2014,225000
2015,355000
2016,550000
2017,486000
2018,130000
2019,225000
2020,1250000
2021,1623850
2022,590000
2023,305000
2024,197000
2025,327000
2026,780000
2027,1250000
2028,161000
2029,415000
2030,407000
2031,775000
2032,1930300
2033,621000
2034,769900
2035,1189300
2036,220000
2037,555000
2038,197830
2039,228500
2040,341000
2041,340000
2042,465000
2043,610000
2044,439320
2045,443000
2046,422000
2047,480000
2048,331700
2049,460000
2050,285000
2051,305000
2052,261065
2053,475000
2054,510000
2055,830000
2056,234500
2057,770000
2058,330000
2059,1125000
2060,370000
2061,255500
2062,710000
2063,278500
2064,370000
2065,513000
2066,3200000
2067,1300000
2068,1070000
2069,223250
2070,378440
2071,320000
2072,327000
2073,494000
2074,310000
2075,203000
2076,586500
2077,1350000
2078,1475000
2079,370000
2080,1500000
2081,615000
2082,489740
2083,1215000
2084,621700
2085,222000
2086,285000
2087,1550000
2088,250000
2089,675300
2090,513000
2091,590000
2092,250000
2093,290900
2094,570000
2095,192000
2096,288700
2097,163000
2098,665000
2099,1161250
2100,1547850
2101,552000
2102,303000
2103,870000
2104,235000
2105,397000
2106,698600
2107,730000
2108,551900
2109,1720000
2110,430000
2111,280000
2112,1025000
2113,613486
2114,300000
2115,525900
2116,2150000
2117,600000
2118,975000
2119,665000
2120,327000
2121,393204
2122,109000
2123,250000
2124,2775000
2125,692000
2126,420000
2127,532500
2128,1074000
2129,1276300
2130,480000
2131,228000
2132,359000
2133,705585
2134,400800
2135,1400000
2136,333000
2137,620874
2138,542910
2139,670000
2140,238000
2141,301700
2142,429340
2143,573600
2144,270000
2145,1165000
2146,1690821
2147,860000
2148,291000
2149,337000
2150,120000
2151,663000
2152,155000
2153,299611
2154,695000
2155,900000
2156,270000
2157,247775
2158,2825000
2159,212500
2160,922500
2161,452176
2162,2600000
2163,137000
2164,856000
2165,412000
2166,730000
2167,4134520
2168,560000
2169,772057
2170,228000
2171,255230
2172,366000
2173,892850
2174,625000
2175,693250
2176,620000
2177,338000
2178,1140354
2179,1800000
2180,818760
2181,385000
2182,1320000
2183,926550
2184,1350000
2185,513500
2186,295000
2187,2225000
2188,180000
2189,390000
2190,385000
2191,242916
2192,969185
2193,150000
2194,745000
2195,141000
2196,275000
2197,317537
2198,415000
2199,680910
2200,450000
2201,995000
2202,377404
2203,300000
2204,430000
2205,415000
2206,172182
2207,600000
2208,314000
2209,1765000
2210,276000
2211,126000
2212,626200
2213,381100
2214,472000
2215,341000
2216,1540000
2217,1089735
2218,130000
2219,420000
2220,1320000
2221,720000
2222,190700
2223,325000
2224,367500
2225,129000
2226,580000
2227,500000
2228,244925
2229,480000
2230,1565000
2231,200000
2232,225000
2233,195000
2234,320000
2235,421500
2236,680000
2237,540000
2238,555000
2239,694000
2240,558780
2241,355400
2242,220000
2243,398500
2244,580000
2245,360000
2246,365000
2247,769200
2248,436000
2249,250000
2250,237530
2251,622800
2252,525000
2253,50000
2254,288000
2255,585200
2256,522500
2257,755385
2258,348411
2259,105000
2260,712150
2261,2100000
2262,1240000
2263,525000
2264,367550
2265,310000
2266,310000
2267,243450
2268,426600
2269,240000
2270,270000
2271,970000
2272,360171
2273,383877
2274,320870
2275,350000
2276,323150
2277,1581500
2278,590000
2279,295000
2280,310160
2281,710000
2282,1250000
2283,192000
2284,460000
